FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Private,0.489,20,924,26127,31300
Public,0.8512,22,1003,17478,38800
Public,0.8396,24,1081,21398,41800
Private For-Profit,0.5992,19,962,27321,45600
Private,0.0978,32,1446,61398,60300
Private,0.8472,19,975,44410,33700
Public,0.7748,21,965,24828,33900
Private,0.8928,19,932,39525,40700
Private,0.7365,25,1145,48016,48800
Private,0.6408,21,949,38223,38400
Private,0.9094,21,956,44586,38300
Private,0.7743,25,1109,56932,40900
Private,0.8819,19,877,41750,39800
Private,0.7791,24,1063,42307,44600
Public,0.6547,26,1142,26700,58300
Private,0.0741,33,1495,55430,66500
Public,0.5526,23,1096,27781,45300
Private,0.7187,22,1038,48163,43800
Private,0.5408,19,913,40921,40000
Private,0.7916,25,1121,46869,50900
Private,0.3816,30,1305,59479,79200
Public,0.6211,22,1068,26086,42300
Public,0.6321,20,932,15021,26100
Public,0.4186,20,967,14200,31900
Public,0.4136,26,1200,17600,48600
Public,0.6458,22,1038,16822,31900
Public,0.852,21,982,17290,30200
Private For-Profit,0.9975,21,998,41417,32200
Private,0.6814,22,1098,41559,49400
Private,0.634,27,1195,40718,125600
Private,0.698,25,1106,38830,35400
Private,0.2053,30,1340,59581,46900
Private,0.7251,25,1101,42796,40800
Private,0.6403,26,1187,54772,62400
Private,0.2638,31,1370,57745,53400
Private,0.0742,33,1471,61540,69500
Private,0.6701,18,912,36593,38000
Private,0.0774,31,1358,56735,50400
Private,0.1556,32,1422,59572,65000
Private,0.7908,23,1047,32741,45500
Private,0.7189,21,899,35825,43700
Private,0.7978,24,1060,50608,37600
Private For-Profit,0.5509,21,894,31557,30100
Private,0.4713,28,1258,56604,50300
Private,0.2719,31,1384,57420,52600
Private,0.8424,25,1126,48699,37300
Private,0.5871,26,1165,49604,45900
Private,0.9108,25,1113,38352,35800
Private,0.9212,22,1009,44623,45400
Private For-Profit,0.7502,20,907,41111,42300
Private,0.619,24,1080,42068,45000
Private,0.869,20,921,42712,42100
Private,0.8067,21,974,44701,42100
Private,0.6617,25,1090,44895,56000
Private,0.1603,20,874,17344,37300
Private,0.7463,24,1053,45323,36900
Private,0.7267,23,1054,36702,53600
Private,0.86,22,1006,38808,43700
Private,0.731,20,919,37738,46500
Private,0.5695,24,986,43273,33300
